date,time,lat,lon,ele
2022-03-24,12:09:36.000,50.5895383,-2.0253058,33
2022-03-24,12:09:41.000,50.5895716,-2.0252301,33
2022-03-24,12:09:46.000,50.5896021,-2.0251539,33
2022-03-24,12:09:51.000,50.5896374,-2.0250802,34
2022-03-24,12:09:56.000,50.5896706,-2.0250056,34
2022-03-24,12:10:01.000,50.5897028,-2.0249313,34
2022-03-24,12:10:06.000,50.5897342,-2.0248543,34
2022-03-24,12:10:11.000,50.5897636,-2.0247760,34
2022-03-24,12:10:16.000,50.5897968,-2.0247001,35
2022-03-24,12:10:21.000,50.5898328,-2.0246334,35
2022-03-24,12:10:26.000,50.5898673,-2.0245777,35
2022-03-24,12:10:31.000,50.5899033,-2.0245138,35
2022-03-24,12:10:36.000,50.5899490,-2.0244590,35
2022-03-24,12:10:41.000,50.5899991,-2.0244137,35
2022-03-24,12:10:46.000,50.5900531,-2.0243772,35
2022-03-24,12:10:51.000,50.5901092,-2.0243536,35
2022-03-24,12:10:56.000,50.5901669,-2.0243299,35
2022-03-24,12:11:01.000,50.5902244,-2.0243004,35
2022-03-24,12:11:06.000,50.5902782,-2.0242857,35
